優先度,日本語,品詞,カテゴリ,英単語,カタカナ読み,過去形,過去分詞,類義語
853,達成,名詞,ビジネス,achievement,アチーブメント,,,accomplishment
854,失敗,名詞,ビジネス,failure,フェイリュア,,,setback
855,成功,名詞,ビジネス,success,サクセス,,,triumph
856,挑戦,名詞,ビジネス,challenge,チャレンジ,,,attempt
857,克服,名詞,ビジネス,overcoming,オーバーカミング,,,conquest
858,解決,名詞,ビジネス,solution,ソリューション,,,resolution
859,対応,名詞,ビジネス,response,レスポンス,,,handling
860,処理,名詞,ビジネス,processing,プロセッシング,,,handling
861,管理,名詞,ビジネス,management,マネジメント,,,administration
862,運営,名詞,ビジネス,operation,オペレーション,,,running
863,経営,名詞,ビジネス,business management,ビジネスマネジメント,,,
864,戦略,名詞,ビジネス,strategy,ストラテジー,,,tactics
865,戦術,名詞,ビジネス,tactics,タクティクス,,,scheme
866,目印,名詞,日常生活,landmark,ランドマーク,,,marker
867,標識,名詞,社会,signpost,サインポスト,,,sign
868,看板,名詞,ビジネス,signboard,サインボード,,,billboard
869,広告,名詞,ビジネス,advertisement,アドバタイズメント,,,ad
870,宣伝,名詞,ビジネス,promotion,プロモーション,,,publicity
871,商品,名詞,ビジネス,product,プロダクト,,,merchandise
872,製品,名詞,ビジネス,manufactured product,マニュファクチャードプロダクト,,,goods
873,サービス,名詞,ビジネス,service,サービス,,,
874,ブランド,名詞,ビジネス,brand,ブランド,,,label
875,商標,名詞,ビジネス,trademark,トレードマーク,,,brand mark
876,特許,名詞,ビジネス,patent,パテント,,,
877,著作権,名詞,ビジネス,copyright,コピーライト,,,
878,発明品,名詞,教育,invention,インベンション,,,creation
879,実験室,名詞,教育,laboratory,ラボラトリー,,,lab
880,顕微鏡,名詞,教育,microscope,マイクロスコープ,,,
881,望遠鏡,名詞,教育,telescope,テレスコープ,,,
882,宇宙,名詞,自然,universe,ユニバース,,,space
883,惑星,名詞,自然,planet,プラネット,,,
884,衛星,名詞,自然,satellite,サテライト,,,
885,銀河,名詞,自然,galaxy,ギャラクシー,,,
886,重力,名詞,自然,gravity,グラビティ,,,
887,酸素,名詞,自然,oxygen,オキシジェン,,,
888,水素,名詞,自然,hydrogen,ハイドロジェン,,,
889,炭素,名詞,自然,carbon,カーボン,,,
890,元素,名詞,自然,element,エレメント,,,
891,分子,名詞,自然,molecule,モレキュール,,,
892,細胞,名詞,健康,cell,セル,,,
893,遺伝子,名詞,健康,gene,ジーン,,,
894,進化,名詞,自然,evolution,エボリューション,,,
895,絶滅,名詞,自然,extinction,エクスティンクション,,,
896,生態系,名詞,自然,ecosystem,エコシステム,,,
897,資源,名詞,社会,resource,リソース,,,
898,エネルギー,名詞,社会,energy (power),エナジー,,,power
899,燃料,名詞,社会,fuel,フューエル,,,
900,廃棄物,名詞,社会,waste,ウェイスト,,,garbage
901,野球,名詞,趣味,baseball,ベースボール,,,
902,サッカー,名詞,趣味,soccer,サッカー,,,football
903,バスケットボール,名詞,趣味,basketball,バスケットボール,,,
904,テニス,名詞,趣味,tennis,テニス,,,
905,水泳,名詞,趣味,swimming,スイミング,,,
906,柔道,名詞,趣味,judo,ジュードー,,,
907,空手,名詞,趣味,karate,カラテ,,,
908,剣道,名詞,趣味,kendo,ケンドー,,,
909,相撲,名詞,趣味,sumo,スモウ,,,
910,マラソン,名詞,趣味,marathon,マラソン,,,
911,登山,名詞,趣味,mountain climbing,マウンテンクライミング,,,hiking
912,釣り,名詞,趣味,fishing,フィッシング,,,
913,キャンプ,名詞,趣味,camping,キャンピング,,,
914,料理,名詞,趣味,cooking,クッキング,,,
915,ガーデニング,名詞,趣味,gardening,ガーデニング,,,
916,読書,名詞,趣味,reading,リーディング,,,
917,編み物,名詞,趣味,knitting,ニッティング,,,
918,裁縫,名詞,趣味,sewing,ソーイング,,,
919,陶芸,名詞,趣味,pottery,ポタリー,,,
920,書道,名詞,趣味,calligraphy,カリグラフィー,,,
921,茶道,名詞,趣味,tea ceremony,ティーセレモニー,,,
922,華道,名詞,趣味,flower arranging,フラワーアレンジング,,,
923,折り紙,名詞,趣味,origami,オリガミ,,,paper folding
924,将棋,名詞,趣味,shogi,ショウギ,,,Japanese chess
925,囲碁,名詞,趣味,go (game),ゴー,,,
926,トランプ,名詞,趣味,playing cards,プレイングカーズ,,,cards
927,パズル,名詞,趣味,puzzle,パズル,,,
928,人形,名詞,趣味,doll,ドール,,,
929,おもちゃ,名詞,趣味,toy,トイ,,,
930,楽器,名詞,趣味,musical instrument,ミュージカルインストゥルメント,,,
931,ピアノ,名詞,趣味,piano,ピアノ,,,
932,ギター,名詞,趣味,guitar,ギター,,,
933,バイオリン,名詞,趣味,violin,バイオリン,,,
934,ドラム,名詞,趣味,drums,ドラムズ,,,
935,フルート,名詞,趣味,flute,フルート,,,
936,オーケストラ,名詞,趣味,orchestra,オーケストラ,,,
937,合唱,名詞,趣味,choir,クワイア,,,chorus
938,演劇,名詞,趣味,drama,ドラマ,,,theater
939,劇場,名詞,趣味,theater,シアター,,,playhouse
940,展覧会,名詞,趣味,exhibition,エキシビション,,,show
941,美術館,名詞,場所,art museum,アートミュージアム,,,gallery
942,博物館,名詞,場所,museum,ミュージアム,,,
943,動物園,名詞,場所,zoo,ズー,,,
944,水族館,名詞,場所,aquarium,アクアリウム,,,
945,遊園地,名詞,場所,amusement park,アミューズメントパーク,,,theme park
946,神社,名詞,社会,shrine,シュライン,,,
947,寺,名詞,社会,temple,テンプル,,,
948,教会,名詞,社会,church,チャーチ,,,
949,城,名詞,社会,castle,キャッスル,,,
950,橋,名詞,日常生活,bridge,ブリッジ,,,
951,トンネル,名詞,日常生活,tunnel,トンネル,,,
952,高速道路,名詞,日常生活,highway,ハイウェイ,,,expressway
953,信号,名詞,日常生活,traffic light,トラフィックライト,,,
954,横断歩道,名詞,日常生活,crosswalk,クロスウォーク,,,pedestrian crossing
955,歩道,名詞,日常生活,sidewalk,サイドウォーク,,,pavement
956,踏切,名詞,日常生活,railroad crossing,レイルロードクロッシング,,,
957,坂,名詞,自然,slope,スロープ,,,hill
958,階段,名詞,日常生活,stairs,ステアーズ,,,staircase
959,エレベーター,名詞,日常生活,elevator,エレベーター,,,lift
960,エスカレーター,名詞,日常生活,escalator,エスカレーター,,,
961,廊下,名詞,日常生活,hallway,ホールウェイ,,,corridor
962,屋上,名詞,日常生活,rooftop,ルーフトップ,,,roof
963,地下,名詞,日常生活,underground,アンダーグラウンド,,,basement
964,入口,名詞,日常生活,entrance,エントランス,,,doorway
965,出口,名詞,日常生活,exit,エグジット,,,way out
966,通路,名詞,日常生活,passage,パッセージ,,,aisle
967,壁紙,名詞,日常生活,wallpaper,ウォールペーパー,,,
968,天井,名詞,日常生活,ceiling,シーリング,,,
969,床,名詞,日常生活,floor,フロア,,,
970,屋根,名詞,日常生活,roof,ルーフ,,,
971,庭,名詞,日常生活,garden,ガーデン,,,yard
972,芝生,名詞,日常生活,lawn,ローン,,,grass area
973,花壇,名詞,日常生活,flower bed,フラワーベッド,,,
974,鉢植え,名詞,日常生活,potted plant,ポッテッドプラント,,,
975,種,名詞,自然,seed,シード,,,
976,苗,名詞,自然,seedling,シードリング,,,sprout
977,根,名詞,自然,root,ルート,,,
978,葉,名詞,自然,leaf,リーフ,,,
979,枝,名詞,自然,branch,ブランチ,,,
980,幹,名詞,自然,trunk,トランク,,,
981,実,名詞,自然,fruit (of a plant),フルーツ,,,berry
982,芽,名詞,自然,bud,バド,,,sprout
983,咲く,動詞,自然,bloom,ブルーム,bloomed,bloomed,blossom
984,枯れる,動詞,自然,wither,ウィザー,withered,withered,die (plant)
985,植える,動詞,日常生活,plant,プラント,planted,planted,sow
986,育む,動詞,抽象概念,foster,フォスター,fostered,fostered,cultivate
987,耕す,動詞,日常生活,cultivate,カルティベート,cultivated,cultivated,till
988,刈る,動詞,日常生活,mow,モウ,mowed,mowed,trim
989,水をやる,動詞,日常生活,water (a plant),ウォーター,watered (a plant),watered (a plant),
990,肥料,名詞,自然,fertilizer,ファーティライザー,,,
991,虫かご,名詞,趣味,insect cage,インセクトケージ,,,
992,巣,名詞,自然,nest,ネスト,,,
993,殻,名詞,自然,shell,シェル,,,
994,羽,名詞,自然,feather,フェザー,,,wing
995,尾,名詞,自然,tail,テイル,,,
996,爪,名詞,身体,claw,クロー,,,nail
997,牙,名詞,自然,fang,ファング,,,tusk
998,毛,名詞,身体,fur,ファー,,,hair
999,皮膚,名詞,身体,skin,スキン,,,
1000,骨,名詞,身体,bone,ボーン,,,
1001,口座,名詞,ビジネス,bank account,バンクアカウント,,,
1002,残高,名詞,ビジネス,balance,バランス,,,
1003,送金,名詞,ビジネス,remittance,リミッタンス,,,money transfer
1004,振込,名詞,ビジネス,bank transfer,バンクトランスファー,,,
1005,引き出し,名詞,ビジネス,withdrawal,ウィズドローアル,,,
1006,預金,名詞,ビジネス,deposit,デポジット,,,
1007,利息,名詞,ビジネス,interest,インタレスト,,,
1008,ローン,名詞,ビジネス,loan,ローン,,,
1009,借金,名詞,ビジネス,debt,デット,,,
1010,貯蓄,名詞,ビジネス,savings,セイビングス,,,
1011,パスワード,名詞,テクノロジー,password,パスワード,,,
1012,アカウント,名詞,テクノロジー,account,アカウント,,,
1013,ユーザー名,名詞,テクノロジー,username,ユーザーネーム,,,
1014,プロフィール,名詞,テクノロジー,profile,プロフィール,,,
1015,フォロワー,名詞,テクノロジー,follower,フォロワー,,,
1016,スマートフォン,名詞,テクノロジー,smartphone,スマートフォン,,,
1017,ワイファイ,名詞,テクノロジー,wifi,ワイファイ,,,
1018,ブラウザ,名詞,テクノロジー,browser,ブラウザ,,,
1019,タブ,名詞,テクノロジー,tab,タブ,,,
1020,通知,名詞,テクノロジー,notification,ノーティフィケーション,,,alert
1021,タクシー,名詞,乗り物,taxi,タクシー,,,cab
1022,地下鉄,名詞,乗り物,subway,サブウェイ,,,metro
1023,フェリー,名詞,乗り物,ferry,フェリー,,,
1024,トラック,名詞,乗り物,truck,トラック,,,
1025,オートバイ,名詞,乗り物,motorcycle,モーターサイクル,,,
1026,ヘリコプター,名詞,乗り物,helicopter,ヘリコプター,,,
1027,駐車場,名詞,場所,parking lot,パーキングロット,,,
1028,ガソリンスタンド,名詞,場所,gas station,ガスステーション,,,
1029,切符,名詞,日常生活,ticket,チケット,,,
1030,改札,名詞,日常生活,ticket gate,チケットゲート,,,
1031,甥,名詞,日常生活,nephew,ネフュー,,,
1032,姪,名詞,日常生活,niece,ニース,,,
1033,いとこ,名詞,日常生活,cousin,カズン,,,
1034,義父,名詞,日常生活,father-in-law,ファーザーインロー,,,
1035,義母,名詞,日常生活,mother-in-law,マザーインロー,,,
1036,叔父,名詞,日常生活,uncle,アンクル,,,
1037,叔母,名詞,日常生活,aunt,アント,,,
1038,孫,名詞,日常生活,grandchild,グランドチャイルド,,,
1039,親戚,名詞,日常生活,relative,レラティブ,,,kin
1040,双子,名詞,日常生活,twins,トゥインズ,,,
1041,ペット,名詞,日常生活,pet,ペット,,,
1042,子犬,名詞,日常生活,puppy,パピー,,,
1043,子猫,名詞,日常生活,kitten,キトゥン,,,
1044,餌,名詞,日常生活,pet food,ペットフード,,,feed
1045,首輪,名詞,日常生活,collar,カラー,,,
1046,ケージ,名詞,日常生活,cage,ケージ,,,
1047,散歩,名詞,日常生活,stroll,ストロール,,,walk
1048,獣医,名詞,ビジネス,vet,ベット,,,veterinarian
1049,飼い主,名詞,日常生活,pet owner,ペットオーナー,,,
1050,野良猫,名詞,日常生活,stray cat,ストレイキャット,,,
1051,鉛筆,名詞,教育,pencil,ペンシル,,,
1052,ペン,名詞,教育,pen,ペン,,,
1053,消しゴム,名詞,教育,eraser,イレイサー,,,
1054,定規,名詞,教育,ruler,ルーラー,,,
1055,はさみ,名詞,教育,scissors,シザーズ,,,
1056,のり,名詞,教育,glue,グルー,,,paste
1057,ホッチキス,名詞,教育,stapler,ステープラー,,,
1058,クリップ,名詞,教育,clip,クリップ,,,
1059,付箋,名詞,教育,sticky note,スティッキーノート,,,
1060,ノート,名詞,教育,notebook,ノートブック,,,
1061,メートル,名詞,基本名詞,meter,メーター,,,
1062,キロメートル,名詞,基本名詞,kilometer,キロメーター,,,
1063,センチ,名詞,基本名詞,centimeter,センチメーター,,,
1064,グラム,名詞,基本名詞,gram,グラム,,,
1065,キログラム,名詞,基本名詞,kilogram,キログラム,,,
1066,リットル,名詞,基本名詞,liter,リッター,,,
1067,度,名詞,基本名詞,degree,ディグリー,,,
1068,秒,名詞,基本名詞,second,セカンド,,,
1069,パーセント,名詞,基本名詞,percent,パーセント,,,
1070,倍,名詞,基本名詞,times (multiple),タイムズ,,,fold
1071,洗濯,名詞,日常生活,laundry,ランドリー,,,washing
1072,掃除,名詞,日常生活,housecleaning,ハウスクリーニング,,,tidying
1073,買い物,名詞,日常生活,shopping,ショッピング,,,
1074,ゴミ出し,名詞,日常生活,taking out the trash,テイキングアウトザトラッシュ,,,
1075,皿洗い,名詞,日常生活,dishwashing,ディッシュウォッシング,,,
1076,アイロン,名詞,日常生活,ironing,アイロニング,,,
1077,布団,名詞,日常生活,futon,フトン,,,
1078,枕,名詞,日常生活,pillow,ピロー,,,
1079,毛布,名詞,日常生活,blanket,ブランケット,,,
1080,カーテン,名詞,日常生活,curtain,カーテン,,,
1081,延長する,動詞,ビジネス,extend,エクステンド,extended,extended,prolong
1082,中止する,動詞,ビジネス,cancel,キャンセル,canceled,canceled,call off
1083,延期する,動詞,ビジネス,postpone,ポストポーン,postponed,postponed,delay
1084,再開する,動詞,ビジネス,restart,リスタート,restarted,restarted,resume
1085,開始する,動詞,ビジネス,commence,コメンス,commenced,commenced,begin
1086,完了する,動詞,ビジネス,wrap up,ラップアップ,wrapped up,wrapped up,finish
1087,記入する,動詞,ビジネス,fill in,フィルイン,filled in,filled in,fill out
1088,署名する,動詞,ビジネス,sign,サイン,signed,signed,
1089,了承する,動詞,ビジネス,consent,コンセント,consented,consented,agree
1090,撤回する,動詞,ビジネス,withdraw (a proposal),ウィズドロー,withdrew (a proposal),withdrawn (a proposal),retract
1091,返済する,動詞,ビジネス,repay,リペイ,repaid,repaid,pay back
1092,投票する,動詞,社会,vote,ボート,voted,voted,cast a ballot
1093,応募する,動詞,ビジネス,apply,アプライ,applied,applied,
1094,申し込む,動詞,ビジネス,sign up,サインアップ,signed up,signed up,register
1095,貯める,動詞,日常生活,save up,セーブアップ,saved up,saved up,accumulate
1096,描写する,動詞,趣味,depict,ディピクト,depicted,depicted,portray
1097,表現する,動詞,趣味,express,エクスプレス,expressed,expressed,convey
1098,通訳する,動詞,ビジネス,interpret,インタープリット,interpreted,interpreted,translate
1099,要約する,動詞,教育,summarize,サマライズ,summarized,summarized,sum up
1100,編集する,動詞,テクノロジー,edit,エディット,edited,edited,revise
1101,笑顔,名詞,感情,smile,スマイル,,,grin
1102,涙,名詞,感情,tears,ティアーズ,,,
1103,勇気,名詞,感情,courage,カレッジ,,,bravery
1104,自信,名詞,感情,confidence,コンフィデンス,,,self-assurance
1105,不安,名詞,感情,anxiety,アンザイエティ,,,unease
1106,恐怖,名詞,感情,fear,フィア,,,terror
1107,怒り,名詞,感情,anger,アンガー,,,rage
1108,喜び,名詞,感情,joy,ジョイ,,,delight
1109,悲しみ,名詞,感情,sadness,サッドネス,,,sorrow
1110,退屈,名詞,感情,boredom,ボアダム,,,tedium
1111,好奇心,名詞,感情,curiosity,キュリオシティ,,,inquisitiveness
1112,誇り,名詞,感情,pride,プライド,,,dignity
1113,罪悪感,名詞,感情,guilt,ギルト,,,remorse
1114,安心,名詞,感情,relief,リリーフ,,,peace of mind
1115,同情,名詞,感情,sympathy,シンパシー,,,compassion
1116,思いやり,名詞,感情,consideration,コンシダレーション,,,thoughtfulness
1117,礼儀,名詞,社会,manners,マナーズ,,,etiquette
1118,常識,名詞,社会,common sense,コモンセンス,,,
1119,偏見,名詞,社会,prejudice,プレジュディス,,,bias
1120,差別,名詞,社会,discrimination,ディスクリミネーション,,,
1121,平等,名詞,社会,equality,イクオリティ,,,fairness
1122,公平,名詞,社会,fairness,フェアネス,,,impartiality
1123,正義,名詞,社会,justice,ジャスティス,,,righteousness
1124,倫理,名詞,社会,ethics,エシックス,,,morality
1125,道徳,名詞,社会,morality,モラリティ,,,virtue
1126,美徳,名詞,社会,virtue,バーチュー,,,merit
1127,悪徳,名詞,社会,vice,バイス,,,immorality
1128,誠実,名詞,社会,sincerity,シンセリティ,,,honesty
1129,信用,名詞,ビジネス,credibility,クレディビリティ,,,trustworthiness
1130,評判,名詞,社会,reputation,レピュテーション,,,
1131,名誉,名詞,社会,honor,オナー,,,prestige
1132,恥,名詞,感情,shame,シェイム,,,embarrassment
1133,誤解,名詞,社会,misunderstanding,ミスアンダースタンディング,,,
1134,矛盾,名詞,抽象概念,contradiction,コントラディクション,,,inconsistency
1135,一貫性,名詞,抽象概念,consistency,コンシステンシー,,,coherence
1136,論理,名詞,教育,logic,ロジック,,,reasoning
1137,証明,名詞,教育,proof,プルーフ,,,evidence
1138,仮説,名詞,教育,hypothesis,ハイポセシス,,,assumption
1139,理論,名詞,教育,theory,セオリー,,,
1140,実践,名詞,教育,practice (application),プラクティス,,,implementation
1141,応用,名詞,教育,application,アプリケーション,,,practical use
1142,基礎,名詞,教育,basics,ベーシックス,,,fundamentals
1143,原理,名詞,教育,principle,プリンシプル,,,
1144,法則,名詞,教育,law (of nature),ロー,,,rule
1145,規則,名詞,社会,rule,ルール,,,regulation
1146,規制,名詞,社会,regulation,レギュレーション,,,restriction
1147,制限,名詞,社会,restriction,リストリクション,,,limitation
1148,自由化,名詞,社会,liberalization,リベラリゼーション,,,deregulation
1149,独立,名詞,社会,independence,インディペンデンス,,,autonomy
1150,依存,名詞,社会,dependence,ディペンデンス,,,reliance
1151,協定,名詞,社会,agreement,アグリーメント,,,pact
1152,同盟,名詞,社会,alliance,アライアンス,,,coalition
1153,連合,名詞,社会,union,ユニオン,,,federation
1154,組合,名詞,社会,labor union,レイバーユニオン,,,
1155,委員会,名詞,ビジネス,committee,コミッティ,,,board
1156,議会,名詞,社会,parliament,パーラメント,,,assembly
1157,大臣,名詞,社会,minister,ミニスター,,,
1158,首相,名詞,社会,prime minister,プライムミニスター,,,
1159,大統領,名詞,社会,president,プレジデント,,,
1160,選挙,名詞,社会,election,エレクション,,,
1161,投票用紙,名詞,社会,ballot,バロット,,,voting slip
1162,有権者,名詞,社会,voter,ボーター,,,
1163,候補者,名詞,社会,candidate,キャンディデート,,,
1164,政党,名詞,社会,political party,ポリティカルパーティー,,,
1165,外交,名詞,社会,diplomacy,ディプロマシー,,,
1166,条約,名詞,社会,treaty,トリーティ,,,pact
1167,大使館,名詞,社会,embassy,エンバシー,,,
1168,国連,名詞,社会,United Nations,ユナイテッドネイションズ,,,UN
1169,難民,名詞,社会,refugee,レフュジー,,,
1170,移民,名詞,社会,immigrant,イミグラント,,,
1171,人権,名詞,社会,human rights,ヒューマンライツ,,,
1172,福祉,名詞,社会,welfare,ウェルフェア,,,wellbeing
1173,年金,名詞,ビジネス,pension,ペンション,,,
1174,介護,名詞,健康,caregiving,ケアギビング,,,nursing care
1175,高齢者,名詞,社会,elderly person,エルダリーパーソン,,,senior
1176,障害者,名詞,社会,person with a disability,パーソンウィズアディサビリティ,,,
1177,少子化,名詞,社会,declining birthrate,ディクライニングバースレイト,,,
1178,高齢化,名詞,社会,aging (of society),エイジング,,,graying
1179,人口減少,名詞,社会,population decline,ポピュレーションディクライン,,,
1180,格差,名詞,社会,disparity,ディスパリティ,,,gap
1181,貧困,名詞,社会,poverty,パーバティ,,,
1182,富,名詞,社会,wealth,ウェルス,,,riches
1183,貧富の差,名詞,社会,wealth gap,ウェルスギャップ,,,
1184,失業,名詞,ビジネス,unemployment,アンエンプロイメント,,,joblessness
1185,就業,名詞,ビジネス,employment,エンプロイメント,,,
1186,労働,名詞,ビジネス,labor,レイバー,,,
1187,賃金,名詞,ビジネス,wage,ウェイジ,,,pay
1188,残業代,名詞,ビジネス,overtime pay,オーバータイムペイ,,,
1189,福利厚生,名詞,ビジネス,benefits,ベネフィッツ,,,perks
1190,休職,名詞,ビジネス,leave of absence,リーブオブアブセンス,,,
1191,育児休暇,名詞,ビジネス,parental leave,ペアレンタルリーブ,,,maternity leave
1192,定年,名詞,ビジネス,retirement age,リタイアメントエイジ,,,
1193,転勤,名詞,ビジネス,job transfer,ジョブトランスファー,,,relocation
1194,出向,名詞,ビジネス,secondment,セコンドメント,,,temporary transfer
1195,派遣,名詞,ビジネス,dispatch (staffing),ディスパッチ,,,temp staffing
1196,正社員,名詞,ビジネス,full-time employee,フルタイムエンプロイー,,,permanent staff
1197,契約社員,名詞,ビジネス,contract employee,コントラクトエンプロイー,,,
1198,パート,名詞,ビジネス,part-timer,パートタイマー,,,
1199,アルバイト,名詞,ビジネス,part-time job,パートタイムジョブ,,,
1200,インターン,名詞,ビジネス,intern,インターン,,,
1201,炒める,動詞,日常生活,stir-fry,スターフライ,stir-fried,stir-fried,
1202,蒸す,動詞,日常生活,steam,スティーム,steamed,steamed,
1203,揚げる,動詞,日常生活,deep-fry,ディープフライ,deep-fried,deep-fried,
1204,漬ける,動詞,日常生活,pickle,ピクル,pickled,pickled,soak
1205,味見する,動詞,日常生活,taste-test,テイストテスト,taste-tested,taste-tested,sample
1206,盛る,動詞,日常生活,plate up,プレートアップ,plated up,plated up,serve
1207,切り刻む,動詞,日常生活,mince,ミンス,minced,minced,chop finely
1208,皮をむく,動詞,日常生活,peel,ピール,peeled,peeled,
1209,すりおろす,動詞,日常生活,grate,グレイト,grated,grated,
1210,こねる,動詞,日常生活,knead,ニード,kneaded,kneaded,
1211,米,名詞,食べ物,rice,ライス,,,
1212,麺,名詞,食べ物,noodles,ヌードルズ,,,
1213,スープ,名詞,食べ物,soup,スープ,,,
1214,サラダ,名詞,食べ物,salad,サラダ,,,
1215,デザート,名詞,食べ物,sweets,スイーツ,,,dessert
1216,アイスクリーム,名詞,食べ物,ice cream,アイスクリーム,,,
1217,チョコレート,名詞,食べ物,chocolate,チョコレート,,,
1218,ケーキ,名詞,食べ物,cake,ケーキ,,,
1219,クッキー,名詞,食べ物,cookie,クッキー,,,
1220,飴,名詞,食べ物,candy,キャンディ,,,
1221,潮,名詞,自然,tide,タイド,,,
1222,波,名詞,自然,wave,ウェーブ,,,
1223,砂浜,名詞,自然,beach,ビーチ,,,shore
1224,洞窟,名詞,自然,cave,ケイブ,,,
1225,滝,名詞,自然,waterfall,ウォーターフォール,,,
1226,噴火,名詞,自然,eruption,イラプション,,,
1227,氷河,名詞,自然,glacier,グレイシャー,,,
1228,雪崩,名詞,自然,avalanche,アバランチ,,,
1229,干ばつ,名詞,自然,drought,ドラウト,,,
1230,洪水,名詞,自然,flood,フラッド,,,
1231,情熱,名詞,感情,passion,パッション,,,enthusiasm
1232,野心,名詞,感情,ambition,アンビション,,,drive
1233,忍耐,名詞,感情,patience,ペイシェンス,,,endurance
1234,謙虚,名詞,感情,humility,ヒューミリティ,,,modesty
1235,寛容,名詞,感情,tolerance,トレランス,,,leniency
1236,頑固,名詞,感情,stubbornness,スタボーンネス,,,obstinacy
1237,怠惰,名詞,感情,laziness,レイジネス,,,idleness
1238,勤勉,名詞,感情,diligence,ディリジェンス,,,industriousness
1239,寛大さ,名詞,感情,generosity,ジェネロシティ,,,magnanimity
1240,正直,名詞,感情,honesty,オネスティ,,,integrity
1241,混同する,動詞,抽象概念,confuse,コンフューズ,confused,confused,mix up
1242,誤解する,動詞,社会,misunderstand,ミスアンダースタンド,misunderstood,misunderstood,
1243,納得する,動詞,抽象概念,be convinced,ビーコンビンスド,was convinced,been convinced,understand
1244,反省する,動詞,感情,reflect on,リフレクトオン,reflected on,reflected on,think back on
1245,歓迎する,動詞,社会,welcome,ウェルカム,welcomed,welcomed,
1246,我慢する,動詞,感情,tolerate,トレレート,tolerated,tolerated,put up with
1247,耐える,動詞,感情,endure,インデュア,endured,endured,withstand
1248,励ます,動詞,感情,encourage,インカレッジ,encouraged,encouraged,cheer on
1249,落胆させる,動詞,感情,discourage,ディスカレッジ,discouraged,discouraged,dishearten
1250,慰める,動詞,感情,comfort,コンフォート,comforted,comforted,console
1251,ドライバー,名詞,日常生活,screwdriver,スクリュードライバー,,,
1252,ハンマー,名詞,日常生活,hammer,ハンマー,,,
1253,ドリル,名詞,日常生活,drill,ドリル,,,
1254,のこぎり,名詞,日常生活,saw,ソー,,,
1255,ペンチ,名詞,日常生活,pliers,プライヤーズ,,,
1256,テープ,名詞,日常生活,tape,テープ,,,
1257,釘,名詞,日常生活,nail,ネイル,,,
1258,ネジ,名詞,日常生活,screw,スクリュー,,,
1259,接着剤,名詞,日常生活,adhesive,アドヒーシブ,,,glue
1260,工具箱,名詞,日常生活,toolbox,ツールボックス,,,
1261,ドレス,名詞,日常生活,dress,ドレス,,,
1262,スーツ,名詞,日常生活,suit,スーツ,,,
1263,水着,名詞,日常生活,swimsuit,スイムスーツ,,,bathing suit
1264,パジャマ,名詞,日常生活,pajamas,パジャマ,,,
1265,制服,名詞,日常生活,school uniform,スクールユニフォーム,,,
1266,サンダル,名詞,日常生活,sandals,サンダル,,,
1267,ブーツ,名詞,日常生活,boots,ブーツ,,,
1268,スニーカー,名詞,日常生活,sneakers,スニーカー,,,trainers
1269,エプロン,名詞,日常生活,apron,エプロン,,,
1270,レインコート,名詞,日常生活,raincoat,レインコート,,,
1271,渋滞,名詞,日常生活,traffic jam,トラフィックジャム,,,
1272,事故,名詞,日常生活,accident,アクシデント,,,crash
1273,免許,名詞,日常生活,driver's license,ドライバーズライセンス,,,
1274,ヘルメット,名詞,日常生活,helmet,ヘルメット,,,
1275,シートベルト,名詞,日常生活,seatbelt,シートベルト,,,
1276,ブレーキ,名詞,日常生活,brake,ブレーキ,,,
1277,エンジン,名詞,日常生活,engine,エンジン,,,motor
1278,タイヤ,名詞,日常生活,tire,タイヤ,,,
1279,ハンドル,名詞,日常生活,steering wheel,ステアリングホイール,,,
1280,クラクション,名詞,日常生活,horn,ホーン,,,
1281,サーバー,名詞,テクノロジー,server,サーバー,,,
1282,クラウド,名詞,テクノロジー,cloud storage,クラウドストレージ,,,
1283,データベース,名詞,テクノロジー,database,データベース,,,
1284,ネットワーク,名詞,テクノロジー,network,ネットワーク,,,
1285,ファイアウォール,名詞,テクノロジー,firewall,ファイアウォール,,,
1286,暗号化,名詞,テクノロジー,encryption,エンクリプション,,,
1287,ウイルス,名詞,テクノロジー,virus (computer),コンピューターウイルス,,,
1288,ハッカー,名詞,テクノロジー,hacker,ハッカー,,,
1289,コード,名詞,テクノロジー,code (programming),プログラミングコード,,,
1290,アルゴリズム,名詞,テクノロジー,algorithm,アルゴリズム,,,
1291,雲,名詞,自然,cloud,クラウド,,,
1292,太陽,名詞,自然,sun,サン,,,
1293,日陰,名詞,自然,shade,シェイド,,,
1294,影,名詞,自然,shadow,シャドー,,,
1295,露,名詞,自然,dew,デュー,,,
1296,霜,名詞,自然,frost,フロスト,,,
1297,雹,名詞,自然,hail,ヘイル,,,
1298,霧雨,名詞,自然,drizzle,ドリズル,,,
1299,みぞれ,名詞,自然,sleet,スリート,,,
1300,猛暑,名詞,自然,heatwave,ヒートウェーブ,,,scorching heat
1301,建てる,動詞,日常生活,build,ビルド,built,built,construct
1302,修理する,動詞,日常生活,repair,リペア,repaired,repaired,fix
1303,取り付ける,動詞,日常生活,install,インストール,installed,installed,set up
1304,組み立てる,動詞,日常生活,assemble,アセンブル,assembled,assembled,put together
1305,取り壊す,動詞,日常生活,demolish,デモリッシュ,demolished,demolished,tear down
1306,塗る,動詞,日常生活,paint (a wall),ペイント,painted (a wall),painted (a wall),
