優先度,日本語,品詞,カテゴリ,英単語,カタカナ読み,過去形,過去分詞,類義語
2958,自制心,名詞,感情,self-control,セルフコントロール,,,
2959,忍耐強い,形容詞,基本形容詞,patient (persistent),パーシステント,,,tenacious
2960,粘り強い,形容詞,基本形容詞,tenacious,テネイシャス,,,persistent
2961,統率力,名詞,ビジネス,leadership ability,リーダーシップアビリティ,,,
2962,協調性,名詞,感情,cooperativeness,コーオペレーティブネス,,,
2963,社交性,名詞,感情,sociability,ソーシャビリティ,,,
2964,バランス感覚,名詞,感情,sense of balance,センスオブバランス,,,
2965,危機感,名詞,感情,sense of crisis,センスオブクライシス,,,
2966,責任感,名詞,感情,sense of responsibility,センスオブレスポンシビリティ,,,
2967,使命感,名詞,感情,sense of mission,センスオブミッション,,,
2968,満足度,名詞,ビジネス,satisfaction level,サティスファクションレベル,,,
2969,完成度,名詞,趣味,degree of completion,ディグリーオブコンプリーション,,,polish
2970,精度,名詞,テクノロジー,precision,プレシジョン,,,accuracy
2971,イライラする,動詞,感情,be irritated,ビーイリテイテッド,was irritated,been irritated,be annoyed
2972,ソワソワする,動詞,感情,be restless,ビーレストレス,was restless,been restless,be fidgety
2973,ウキウキする,動詞,感情,be in high spirits,ビーインハイスピリッツ,was in high spirits,been in high spirits,be cheerful
2974,ヒヤヒヤする,動詞,感情,be on edge,ビーオンエッジ,was on edge,been on edge,be nervous
2975,ハラハラする,動詞,感情,be on the edge of one's seat,ビーオンジエッジオブワンズシート,was on the edge of one's seat,been on the edge of one's seat,feel suspense
2976,モヤモヤする,動詞,感情,feel unclear unease,フィールアンクリアアニーズ,felt unclear unease,felt unclear unease,feel uneasy
2977,ゾクゾクする,動詞,感情,get chills,ゲットチルズ,got chills,gotten chills,feel a thrill
2978,ドキッとする,動詞,感情,be startled momentarily,ビースタートルドモメンタリリー,was startled momentarily,been startled momentarily,
2979,ゴロゴロする,動詞,日常生活,lounge around,ラウンジアラウンド,lounged around,lounged around,laze about
2980,ボーッとする,動詞,感情,space out,スペースアウト,spaced out,spaced out,zone out
2981,イキイキする,動詞,感情,be lively,ビーライブリー,was lively,been lively,be vibrant
2982,キラキラする,動詞,自然,sparkle (shine),スパークル,sparkled,sparkled,glitter
2983,ニコニコする,動詞,感情,smile cheerfully,スマイルチアフリー,smiled cheerfully,smiled cheerfully,beam
2984,バタバタする,動詞,日常生活,be busy (frantic),ビービジー,was busy,been busy,rush around
2985,フラフラする,動詞,健康,feel dizzy,フィールディジー,felt dizzy,felt dizzy,feel unsteady
2986,ヘトヘトになる,動詞,健康,become exhausted,ビカムイグゾースティド,became exhausted,become exhausted,
2987,ぐったりする,動詞,健康,become listless,ビカムリストレス,became listless,become listless,be worn out
2988,ぷんぷんする,動詞,感情,be visibly angry,ビービジブリーアングリー,was visibly angry,been visibly angry,pout angrily
2989,ぐずぐずする,動詞,日常生活,dawdle,ドードル,dawdled,dawdled,dally
2990,もたもたする,動詞,日常生活,be slow (fumbling),ビーファンブリング,was fumbling,been fumbling,fumble
2991,うろうろする,動詞,日常生活,wander around,ワンダーアラウンド,wandered around,wandered around,loiter
2992,はきはきする,動詞,感情,speak briskly,スピークブリスクリー,spoke briskly,spoken briskly,be crisp
2993,てきぱきする,動詞,ビジネス,work efficiently,ワークエフィシェントリー,worked efficiently,worked efficiently,be brisk
2994,不均衡,名詞,ビジネス,imbalance,インバランス,,,
2995,借入,名詞,ビジネス,borrowing,ボローイング,,,
2996,冷凍庫,名詞,日常生活,freezer,フリーザー,,,
2997,民宿,名詞,場所,guesthouse,ゲストハウス,,,
2998,間食,名詞,食べ物,snacking between meals,スナッキング,,,
2999,型,名詞,趣味,pattern (mold),パターン,,,mold
3000,対等,名詞,社会,equal footing,イコールフッティング,,,parity
3001,均等,名詞,ビジネス,evenness (equal distribution),イーブンネス,,,
